band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note
band_B,12 mm steel,5,108.2,7.011,36.6,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,6,108.2,7.011,36.6,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,7,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,8,108.2,7.011,36.4,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,9,108.2,7.011,36.6,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,10,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,11,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,12,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,13,108.2,7.011,36.2,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,14,108.2,7.011,36.3,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,15,108.2,7.011,36.4,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,16,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,17,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,18,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,19,108.2,7.011,36.4,0.800,0.267,2.10,20.593965,
band_B,12 mm steel,20,108.2,7.011,36.5,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,1,83.6,5.417,40.2,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,2,83.8,5.430,40.2,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,3,83.6,5.417,40.2,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,4,83.6,5.417,40.2,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,5,83.6,5.417,40.2,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,6,83.8,5.430,40.2,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,7,83.6,5.417,40.3,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,8,83.6,5.417,40.3,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,9,83.6,5.417,40.1,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,10,83.8,5.430,40.2,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,11,83.6,5.417,40.3,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,12,83.5,5.411,40.2,0.800,0.267,2.10,20.593965,
band_B,11 mm steel,13,83.6,5.417,40.2,0.800,0.267,2.10,20.593965,
